pcn_code,Cegedim,EMIS,TPP,Unknown,sub_ICB
U00000,0,0,6,0,26A
U00070,0,2,0,0,36L
U00147,0,0,3,0,04C
U00203,0,7,0,0,01G
U00254,0,4,0,0,72Q
U00351,0,0,4,0,15E
U00367,0,11,0,0,A3A8R
U00402,0,5,0,0,15C
U00639,0,2,0,0,01H
U00760,0,5,0,0,11X
U01092,0,3,1,0,70F
U01096,0,1,6,0,07H
U01198,0,0,3,0,D9Y0V
U01367,0,3,0,0,10Q
U01577,0,8,0,0,D2P2L
U01630,0,8,1,0,01Y
U01680,0,0,5,0,03L
U01901,0,6,0,0,00X
U01916,0,4,0,0,14Y
U01989,0,0,3,0,84H
U02049,0,3,0,0,92A
U02275,0,8,0,0,01Y
U02453,0,0,5,0,99G
U02454,0,3,0,0,36L
U02610,0,6,1,0,11N
U02669,0,0,4,0,11M
U02671,0,3,5,0,16C
U02678,0,5,0,0,27D
U02731,0,8,0,0,99A
U02739,0,1,5,0,99C
U02749,0,0,4,0,11J
U02795,0,8,0,0,93C
U02961,0,0,8,0,W2U3Z
U03055,0,4,0,0,D4U1Y
U03153,0,7,0,0,01G
U03186,0,0,7,0,04C
U03298,0,0,8,0,42D
U03364,0,0,4,0,70F
U03379,0,0,3,0,06T
U03551,0,2,0,0,72Q
U03653,0,7,0,0,A3A8R
U03810,0,0,2,0,10R
U03824,0,0,5,0,03F
U03826,0,2,1,0,03Q
U03864,0,3,0,0,11N
U03989,0,3,0,0,15A
U04079,0,4,0,0,15A
U04154,0,2,4,0,26A
U04443,0,0,5,0,99G
U04545,0,0,4,0,99G
U04648,0,0,3,0,92G
U04725,0,1,1,0,70F
U04748,0,0,2,0,70F
U04784,0,5,0,0,B2M3M
U04862,0,2,0,0,10Q
U04901,0,3,0,0,05V
U04973,0,3,0,0,91Q
U05001,0,0,3,0,02Q
U05048,0,0,7,0,15M
U05340,0,0,8,0,92G
U05433,0,1,8,0,26A
U05451,0,5,0,0,A3A8R
U05458,0,5,0,0,00P
U05510,0,5,0,0,91Q
U05512,0,7,3,0,00L
U05517,0,5,1,0,00T
U05632,0,2,0,0,97R
U05679,0,0,1,0,92G
U05734,0,4,0,0,05W
U05784,0,0,12,0,W2U3Z
U05885,0,3,0,0,93C
U05906,0,6,0,0,00X
U06000,0,1,0,0,27D
U06079,0,2,0,0,06N
U06092,0,2,8,0,X2C4Y
U06180,0,14,0,0,72Q
U06243,0,0,5,0,07G
U06256,0,4,0,0,05W
U06387,0,0,5,0,15N
U06437,0,0,4,0,52R
U06438,0,0,2,0,15M
U06486,0,2,0,0,15C
U06610,0,11,0,0,D2P2L
U06816,0,0,6,0,15N
U06871,0,3,1,0,70F
U06978,0,5,0,0,A3A8R
U07003,0,2,2,0,00T
U07032,0,0,3,0,16C
U07140,0,4,0,0,72Q
U07169,0,5,0,0,A3A8R
U07392,0,7,0,0,W2U3Z
U07449,0,0,1,0,10R
U07506,0,9,0,0,14L
U07605,0,4,0,0,93C
U07607,0,4,0,0,36L
U07648,0,4,0,0,91Q
U07776,0,4,0,0,27D
U07789,0,6,0,0,B2M3M
U07842,0,0,5,0,16C
U07902,0,2,2,0,78H
U08085,0,10,0,0,01H
U08086,0,6,0,0,01A
U08206,0,0,4,0,04C
U08235,0,0,6,0,70F
U08248,0,1,5,0,03R
U08561,0,1,0,0,D9Y0V
U08578,0,3,0,0,A3A8R
U08579,0,3,0,0,06N
U08711,0,3,0,0,91Q
U08803,0,3,0,0,A3A8R
U08925,0,3,0,0,05V
U09057,0,7,0,0,01A
U09071,0,5,0,0,36L
U09072,0,3,2,0,09D
U09081,0,1,3,0,11N
U09100,0,10,0,0,01E
U09187,0,0,5,0,78H
U09193,0,4,0,0,A3A8R
U09275,0,3,0,0,11X
U09521,0,0,6,0,03W
U09529,0,0,4,0,03L
U09531,0,0,6,0,M1J4Y
U09643,0,6,0,0,01F
U09727,1,0,5,0,06Q
U09738,0,0,8,0,06H
U09772,0,0,5,0,78H
