pcn_code,EMIS,EMIS (I),TPP,VISION,ICB
U00070,156,0,0,0,36L
U00147,0,0,260,0,04C
U00203,533,0,0,0,01G
U00254,312,0,0,0,72Q
U00351,0,0,312,0,15E
U00367,1313,0,0,0,A3A8R
U00402,390,0,0,0,15C
U00567,0,0,247,0,03H
U00639,143,0,0,0,01H
U00760,546,0,0,0,11X
U01092,234,0,78,0,70F
U01096,78,0,468,0,07H
U01150,0,0,78,0,06K
U01198,0,0,234,0,D9Y0V
U01315,156,0,0,0,91Q
U01367,234,0,0,0,10Q
U01577,624,0,0,0,D2P2L
U01630,624,0,78,0,01Y
U01680,0,0,390,0,03L
U01901,468,0,0,0,00X
U01916,312,0,0,0,14Y
U01989,0,0,195,0,84H
U02049,234,0,0,0,92A
U02275,624,0,0,0,01Y
U02453,0,0,468,0,99G
U02454,234,0,0,0,36L
U02610,468,0,234,0,11N
U02669,0,0,390,0,11M
U02671,234,0,390,0,16C
U02678,390,0,0,0,27D
U02731,624,0,0,0,99A
U02739,78,0,468,0,99C
U02749,0,0,312,0,11J
U02795,624,0,0,0,93C
U02961,0,0,546,0,W2U3Z
U03055,312,0,0,0,D4U1Y
U03153,546,0,0,0,01G
U03186,0,0,546,0,04C
U03298,78,0,546,0,42D
U03364,65,0,247,0,70F
U03379,78,0,234,0,06T
U03551,182,0,0,0,72Q
U03653,702,0,0,0,A3A8R
U03810,0,0,156,0,10R
U03824,0,0,650,0,03F
U03826,221,0,13,0,03Q
U03864,234,0,0,0,11N
U03892,0,0,390,0,06L
U03989,468,0,0,0,15A
U04079,234,0,0,78,15A
U04154,156,0,312,0,26A
U04443,0,0,390,0,99G
U04545,0,0,390,0,99G
U04648,0,0,234,0,92G
U04725,143,0,91,0,70F
U04748,0,0,156,0,70F
U04784,468,0,0,0,B2M3M
U04862,156,0,0,0,10Q
U04901,234,0,0,0,05V
U04914,390,0,0,0,01E
U04973,312,0,0,0,91Q
U05001,0,0,234,0,02Q
U05048,0,0,546,0,15M
U05340,0,0,702,0,92G
U05433,91,0,611,0,26A
U05451,390,0,0,0,A3A8R
U05458,468,0,0,0,00P
U05510,390,0,0,0,91Q
U05512,429,52,351,0,00L
U05517,390,0,78,0,00T
U05632,156,0,0,0,97R
U05642,0,0,780,0,04C
U05679,26,0,130,0,92G
U05734,312,0,0,0,05W
U05784,0,0,936,0,W2U3Z
U05796,0,0,312,0,04C
U05885,312,0,0,0,93C
U05906,546,0,0,0,00X
U06000,78,0,0,0,27D
U06079,234,0,0,0,06N
U06092,156,0,624,0,X2C4Y
U06180,1092,0,0,0,72Q
U06243,0,0,390,0,07G
U06256,312,0,78,0,05W
U06387,0,0,390,0,15N
U06437,0,0,312,0,52R
U06438,0,0,156,0,15M
U06486,312,0,0,0,15C
U06610,780,0,0,0,D2P2L
U06816,156,0,312,0,15N
U06871,234,0,78,0,70F
